comune,mcp,locale,locale15,n_celle,max30,max15,celle_nz,min_polo,classe,scarto,quota_nz
Roma,18.074872,11.719827586206897,1.3374384236453203,1624,28.0,10.0,1504,0.0,A - Polo,6.355044413793102,0.9261083743842364
Ciampino,17.009808,13.705882352941176,0.9411764705882353,17,27.0,2.0,17,16.6,C - Cintura,3.303925647058824,1.0
Marino,11.126162,8.758620689655173,0.2413793103448276,29,13.0,1.0,29,27.0,C - Cintura,2.367541310344828,1.0
Monte Porzio Catone,10.184825,6.0,1.0769230769230769,13,11.0,3.0,13,13.3,C - Cintura,4.184825,1.0
Frascati,9.84006,7.153846153846154,1.8461538461538463,26,13.0,3.0,26,16.3,C - Cintura,2.686213846153845,1.0
Fonte Nuova,8.780054,4.615384615384615,0.0,26,9.0,0.0,26,17.1,C - Cintura,4.164669384615385,1.0
Guidonia Montecelio,8.578219,5.549019607843137,0.0784313725490196,102,28.0,2.0,91,24.6,C - Cintura,3.0291993921568636,0.8921568627450981
Fiumicino,8.016353,4.549815498154982,0.08118081180811808,271,19.0,2.0,229,12.8,C - Cintura,3.4665375018450186,0.8450184501845018
San Cesareo,7.409366,5.0,0.3333333333333333,30,12.0,2.0,30,18.1,C - Cintura,2.4093660000000003,1.0
Castel Gandolfo,7.405387,5.166666666666667,0.5555555555555556,18,8.0,1.0,18,26.6,C - Cintura,2.238720333333333,1.0
Rocca Priora,6.744005,3.473684210526316,0.0,38,6.0,0.0,36,21.4,C - Cintura,3.2703207894736837,0.9473684210526315
Monte Compatri,6.269575,4.142857142857143,0.07142857142857142,28,10.0,2.0,27,17.2,C - Cintura,2.1267178571428564,0.9642857142857143
Grottaferrata,5.693107,4.916666666666667,0.75,24,10.0,2.0,24,18.9,C - Cintura,0.7764403333333334,1.0
Aprilia,5.668907,3.017699115044248,0.11061946902654868,226,6.0,1.0,221,26.7,C - Cintura,2.651207884955752,0.9778761061946902
Pomezia,5.531659,3.2454545454545456,0.02727272727272727,110,10.0,1.0,92,26.8,C - Cintura,2.2862044545454547,0.8363636363636363
Valmontone,5.485257,2.709090909090909,0.23636363636363636,55,7.0,1.0,52,24.2,C - Cintura,2.776166090909091,0.9454545454545454
Colonna,5.473532,4.833333333333333,0.0,6,6.0,0.0,6,18.8,C - Cintura,0.6401986666666666,1.0
Albano Laziale,5.40149,3.533333333333333,1.0333333333333334,30,8.0,2.0,30,25.2,C - Cintura,1.8681566666666667,1.0
Gallicano nel Lazio,5.297563,4.294117647058823,0.14705882352941177,34,10.0,1.0,33,29.3,D - Intermedio,1.0034453529411769,0.9705882352941176
Castelnuovo di Porto,5.167065,2.675675675675676,0.05405405405405406,37,12.0,1.0,27,28.6,D - Intermedio,2.491389324324324,0.7297297297297297
Formello,5.16498,3.1627906976744184,0.20930232558139536,43,13.0,1.0,42,24.9,C - Cintura,2.0021893023255815,0.9767441860465116
Artena,5.129114,1.7142857142857142,0.15714285714285714,70,5.0,1.0,62,27.1,C - Cintura,3.414828285714286,0.8857142857142857
Zagarolo,4.86681,3.914285714285714,0.2857142857142857,35,9.0,1.0,35,25.1,C - Cintura,0.9525242857142859,1.0
Ariccia,4.804538,3.2083333333333335,1.4166666666666667,24,5.0,2.0,24,22.8,C - Cintura,1.5962046666666665,1.0
Rocca di Papa,4.789192,2.2,0.1,50,5.0,1.0,42,23.8,C - Cintura,2.5891919999999997,0.84
Tivoli,4.671419,2.6931818181818183,0.5340909090909091,88,14.0,1.0,86,0.0,A - Polo,1.9782371818181819,0.9772727272727273
Riano,4.451929,3.4516129032258065,0.03225806451612903,31,7.0,1.0,31,26.7,C - Cintura,1.0003160967741933,1.0
Labico,4.335547,2.1538461538461537,0.5384615384615384,13,4.0,1.0,13,28.7,D - Intermedio,2.1817008461538463,1.0
Monterotondo,3.971726,2.52,0.68,50,6.0,1.0,50,30.3,D - Intermedio,1.4517259999999998,1.0
Nemi,3.768869,3.111111111111111,0.2222222222222222,9,4.0,1.0,9,18.4,C - Cintura,0.6577578888888889,1.0
Campagnano di Roma,3.506552,1.5357142857142858,0.0,56,4.0,0.0,52,32.4,D - Intermedio,1.9708377142857143,0.9285714285714286
Sacrofano,3.493557,1.6756756756756757,0.0,37,6.0,0.0,31,26.7,C - Cintura,1.8178813243243244,0.8378378378378378
Orte,3.469991,0.42528735632183906,0.0,87,4.0,0.0,25,26.6,C - Cintura,3.0447036436781607,0.28735632183908044
Palestrina,3.398397,1.7321428571428572,0.7321428571428571,56,6.0,1.0,56,31.6,D - Intermedio,1.666254142857143,1.0
Capena,3.369641,2.5675675675675675,0.02702702702702703,37,6.0,1.0,35,26.8,C - Cintura,0.8020734324324326,0.9459459459459459
Ardea,3.219121,2.1648351648351647,0.08791208791208792,91,6.0,1.0,76,30.8,D - Intermedio,1.0542858351648352,0.8351648351648352
Cerveteri,3.121118,0.8538011695906432,0.04093567251461988,171,4.0,1.0,125,30.3,D - Intermedio,2.267316830409357,0.7309941520467836
Cisterna di Latina,3.047397,1.4065934065934067,0.01098901098901099,182,5.0,1.0,153,19.7,C - Cintura,1.6408035934065934,0.8406593406593407
Colli sul Velino,3.034131,2.1176470588235294,0.0,17,3.0,0.0,15,18.9,C - Cintura,0.9164839411764705,0.8823529411764706
Lanuvio,2.996387,2.4285714285714284,0.42857142857142855,56,3.0,1.0,55,12.6,C - Cintura,0.5678155714285715,0.9821428571428571
Monte Romano,2.989316,0.3893805309734513,0.008849557522123894,113,2.0,1.0,38,21.6,C - Cintura,2.5999354690265486,0.336283185840708
Genzano di Roma,2.983633,2.909090909090909,0.6818181818181818,22,3.0,2.0,22,15.5,C - Cintura,0.07454209090909103,1.0
Fiano Romano,2.975975,1.2549019607843137,0.0,51,6.0,0.0,32,30.6,D - Intermedio,1.7210730392156863,0.6274509803921569
Greccio,2.959518,1.5,0.0,22,3.0,0.0,12,15.1,C - Cintura,1.459518,0.5454545454545454
Configni,2.940905,0.5806451612903226,0.0,31,3.0,0.0,7,25.8,C - Cintura,2.3602598387096774,0.22580645161290322
Velletri,2.823721,1.836734693877551,0.5850340136054422,147,4.0,2.0,145,0.0,A - Polo,0.9869863061224489,0.9863945578231292
Ladispoli,2.78281,1.2424242424242424,0.0,33,6.0,0.0,23,33.8,D - Intermedio,1.5403857575757576,0.696969696969697
Mandela,2.733398,0.5625,0.0,16,2.0,0.0,8,24.0,C - Cintura,2.170898,0.5
San Vittore del Lazio,2.651917,0.9142857142857143,0.0,35,2.0,0.0,23,19.3,C - Cintura,1.737631285714286,0.6571428571428571
Sutri,2.643968,0.30864197530864196,0.0,81,2.0,0.0,22,35.1,D - Intermedio,2.335326024691358,0.2716049382716049
Lariano,2.628274,1.2142857142857142,0.35714285714285715,28,2.0,1.0,27,14.9,C - Cintura,1.413988285714286,0.9642857142857143
Nettuno,2.595092,1.9886363636363635,0.5454545454545454,88,4.0,2.0,75,9.3,C - Cintura,0.6064556363636366,0.8522727272727273
Arsoli,2.574813,0.631578947368421,0.0,19,1.0,0.0,12,31.5,D - Intermedio,1.9432340526315788,0.631578947368421
